1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 960000005C198521
Is Mission Active?  true
Mission Start:  Sat Aug 28 19:44:00 GMT+08:00 2021
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  2492
Total Samples:  2492
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
17/9/2021, 7:29:00 pm,C,23.5
17/9/2021, 7:44:00 pm,C,23.5
17/9/2021, 7:59:00 pm,C,23.5
17/9/2021, 8:14:00 pm,C,23.5
17/9/2021, 8:29:00 pm,C,23.5
17/9/2021, 8:44:00 pm,C,23.5
17/9/2021, 8:59:00 pm,C,23.5
17/9/2021, 9:14:00 pm,C,23.5
17/9/2021, 9:29:00 pm,C,23.5
17/9/2021, 9:44:00 pm,C,23.5
17/9/2021, 9:59:00 pm,C,23.5
17/9/2021, 10:14:00 pm,C,23.5
17/9/2021, 10:29:00 pm,C,23.5
17/9/2021, 10:44:00 pm,C,23.5
17/9/2021, 10:59:00 pm,C,23.5
17/9/2021, 11:14:00 pm,C,23.5
17/9/2021, 11:29:00 pm,C,23.5
17/9/2021, 11:44:00 pm,C,23.5
17/9/2021, 11:59:00 pm,C,23.5
18/9/2021, 12:14:00 am,C,23.5
18/9/2021, 12:29:00 am,C,23.5
18/9/2021, 12:44:00 am,C,23.5
18/9/2021, 12:59:00 am,C,23.5
18/9/2021, 1:14:00 am,C,23.5
18/9/2021, 1:29:00 am,C,23.5
18/9/2021, 1:44:00 am,C,23.5
18/9/2021, 1:59:00 am,C,23.5
18/9/2021, 2:14:00 am,C,23.5
18/9/2021, 2:29:00 am,C,23.5
18/9/2021, 2:44:00 am,C,23.5
18/9/2021, 2:59:00 am,C,23.5
18/9/2021, 3:14:00 am,C,23.5
18/9/2021, 3:29:00 am,C,23.5
18/9/2021, 3:44:00 am,C,23.5
18/9/2021, 3:59:00 am,C,23.5
18/9/2021, 4:14:00 am,C,23.5
18/9/2021, 4:29:00 am,C,23.5
18/9/2021, 4:44:00 am,C,23.5
18/9/2021, 4:59:00 am,C,23.5
18/9/2021, 5:14:00 am,C,23.5
18/9/2021, 5:29:00 am,C,23.5
18/9/2021, 5:44:00 am,C,23.5
18/9/2021, 5:59:00 am,C,23
18/9/2021, 6:14:00 am,C,23
18/9/2021, 6:29:00 am,C,23
18/9/2021, 6:44:00 am,C,23
18/9/2021, 6:59:00 am,C,23
18/9/2021, 7:14:00 am,C,23.5
18/9/2021, 7:29:00 am,C,23
18/9/2021, 7:44:00 am,C,23.5
18/9/2021, 7:59:00 am,C,23.5
18/9/2021, 8:14:00 am,C,23.5
18/9/2021, 8:29:00 am,C,23.5
18/9/2021, 8:44:00 am,C,23.5
18/9/2021, 8:59:00 am,C,23.5
18/9/2021, 9:14:00 am,C,23.5
18/9/2021, 9:29:00 am,C,23.5
18/9/2021, 9:44:00 am,C,23.5
18/9/2021, 9:59:00 am,C,23.5
18/9/2021, 10:14:00 am,C,23.5
18/9/2021, 10:29:00 am,C,23.5
18/9/2021, 10:44:00 am,C,23.5
18/9/2021, 10:59:00 am,C,23.5
18/9/2021, 11:14:00 am,C,23.5
18/9/2021, 11:29:00 am,C,23.5
18/9/2021, 11:44:00 am,C,23.5
18/9/2021, 11:59:00 am,C,23.5
18/9/2021, 12:14:00 pm,C,23.5
18/9/2021, 12:29:00 pm,C,23.5
18/9/2021, 12:44:00 pm,C,23.5
18/9/2021, 12:59:00 pm,C,23.5
18/9/2021, 1:14:00 pm,C,23.5
18/9/2021, 1:29:00 pm,C,23.5
18/9/2021, 1:44:00 pm,C,23.5
18/9/2021, 1:59:00 pm,C,23.5
18/9/2021, 2:14:00 pm,C,24
18/9/2021, 2:29:00 pm,C,24
18/9/2021, 2:44:00 pm,C,24
18/9/2021, 2:59:00 pm,C,24
18/9/2021, 3:14:00 pm,C,24
18/9/2021, 3:29:00 pm,C,24
18/9/2021, 3:44:00 pm,C,24
18/9/2021, 3:59:00 pm,C,24
18/9/2021, 4:14:00 pm,C,24
18/9/2021, 4:29:00 pm,C,24
18/9/2021, 4:44:00 pm,C,23.5
18/9/2021, 4:59:00 pm,C,23.5
18/9/2021, 5:14:00 pm,C,23.5
18/9/2021, 5:29:00 pm,C,23.5
18/9/2021, 5:44:00 pm,C,23.5
18/9/2021, 5:59:00 pm,C,23.5
18/9/2021, 6:14:00 pm,C,23.5
18/9/2021, 6:29:00 pm,C,23.5
18/9/2021, 6:44:00 pm,C,23.5
18/9/2021, 6:59:00 pm,C,23.5
18/9/2021, 7:14:00 pm,C,23.5
18/9/2021, 7:29:00 pm,C,23.5
18/9/2021, 7:44:00 pm,C,23.5
18/9/2021, 7:59:00 pm,C,23.5
18/9/2021, 8:14:00 pm,C,23.5
18/9/2021, 8:29:00 pm,C,23.5
18/9/2021, 8:44:00 pm,C,23.5
18/9/2021, 8:59:00 pm,C,23.5
18/9/2021, 9:14:00 pm,C,23.5
18/9/2021, 9:29:00 pm,C,23.5
18/9/2021, 9:44:00 pm,C,23.5
18/9/2021, 9:59:00 pm,C,23.5
18/9/2021, 10:14:00 pm,C,23.5
18/9/2021, 10:29:00 pm,C,23.5
18/9/2021, 10:44:00 pm,C,23.5
18/9/2021, 10:59:00 pm,C,23.5
18/9/2021, 11:14:00 pm,C,23.5
18/9/2021, 11:29:00 pm,C,23.5
18/9/2021, 11:44:00 pm,C,23.5
18/9/2021, 11:59:00 pm,C,23.5
19/9/2021, 12:14:00 am,C,23.5
19/9/2021, 12:29:00 am,C,23.5
19/9/2021, 12:44:00 am,C,23.5
19/9/2021, 12:59:00 am,C,23.5
19/9/2021, 1:14:00 am,C,23.5
19/9/2021, 1:29:00 am,C,23.5
19/9/2021, 1:44:00 am,C,23.5
19/9/2021, 1:59:00 am,C,23.5
19/9/2021, 2:14:00 am,C,23.5
19/9/2021, 2:29:00 am,C,23.5
19/9/2021, 2:44:00 am,C,23.5
19/9/2021, 2:59:00 am,C,23.5
19/9/2021, 3:14:00 am,C,23.5
19/9/2021, 3:29:00 am,C,23.5
